year,week,total_llamadas,perdidas,tasa_perdida (%)
2019,31,19,15.0,78.95
2019,32,223,173.0,77.58
2019,33,761,485.0,63.73
2019,34,1437,833.0,57.97
2019,35,2594,1618.0,62.37
2019,36,3281,1692.0,51.57
2019,37,3915,1902.0,48.58
2019,38,4969,2682.0,53.97
2019,39,10460,5907.0,56.47
2019,40,18631,12460.0,66.88
2019,41,19602,12851.0,65.56
2019,42,15842,9133.0,57.65
2019,43,14844,6501.0,43.8
2019,44,15214,7418.0,48.76
2019,45,22568,11455.0,50.76
2019,46,21385,9301.0,43.49
2019,47,25671,11910.0,46.39
2019,48,14808,7043.0,47.56
